Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PP563943,dengue virus type 1,Orthoflavivirus denguei,1,23GZ21820_D1_A,10646,partial,China: Guangzhou,China,Homo sapiens,blood,"Su,W., Lu,W., Liu,P.",2023-11-08,2024-04-04,ssRNA(+)
MN923101,dengue virus type I,Orthoflavivirus denguei,1,19XN08100,10625,partial,China,China,Homo sapiens,,"Su,W., Jiang,L., Cao,Y.",2019-04-25,2020-01-18,ssRNA(+)
AY277658,dengue virus type I,Orthoflavivirus denguei,,ARG0028c2,2887,partial,,,,,"Barrero,P.R., Mistchenko,A.S.",,2004-05-01,ssRNA(+)
MT929566,dengue virus type I,Orthoflavivirus denguei,V,OPAS150,9621,partial,Brazil: Buique,Brazil,Homo sapiens,"liver, abdominal cavity","Adelino,T.E., Giovanetti,M., Fonseca,V., Xavier,J., Tosta,S.F., Iane,F.C., Fabri,A.A., Abreu,A.S., Jesus,R., Araujo,E., Abreu,A.L., Graf,T., Navegantes,W., de Oliveira,T., Holmes,E.C., Lourenco,J., Alcantara,L.C.",2019-05-28,2021-03-02,ssRNA(+)
KT824964,dengue virus type I,Orthoflavivirus denguei,IV,Cook Islands 2007,1485,partial,Cook Islands,Cook Islands,Homo sapiens,,"Pyke,A.T.",2007,2017-11-02,ssRNA(+)
MN886828,dengue virus type I,Orthoflavivirus denguei,1,GZ8H/2019094/2017/I,10728,partial,China,China,Homo sapiens,,"Zhao,L., Hong,W., Yang,H., Qiu,S., Wang,J., Hu,F., Zhang,F.",2017-11-30,2020-07-29,ssRNA(+)
OZ249574,dengue virus type 1,Orthoflavivirus denguei,,,1485,partial,,,,,"Zhang,T.",,2025-05-01,ssRNA(+)
OR258422,dengue virus type 1,Orthoflavivirus denguei,1,LACENMS_LIB1_21_20220330,10021,partial,"Brazil: Dourados, Mato Grosso do Sul",Brazil,Homo sapiens,blood,"Castilho De Arruda,L.D., Giovanetti,M., Fonseca,V., Zardin,M.C.S.U., Lichs,G.G.C., Asato,S., Esposito,A.O.P., Tokeshi Muller,M., Xavier,J., Fritsch,H., Lima,M., De Oliveira,C., Santos,E.V., Maziero,L.M.A., Frias,D.F.R., Ahad Das Neves,D., Ferreira Da Silva,L., Rodrigues Barretos,E.C., Tsuha Oshiro,P.E., Modafari Goday,B., Lemos Dos Santos,J.K., Kashima,S., Albuquerque,C.F.C., Said,R.F.D.C., Rosewell,A., Demarchi,L.H.F., Croda,J., Alcantara,L.C.J., Cavalheiro Maymone Goncalves,C., De Mello Almeida Maziero,L., Castilhos Souza Umaki Zardin,M., Garcia De Castro Lichs,G., Rezende Romera,G., Domingues Castilho De Arruda,L., Castanho Escandolhero,V., Ferreira Barbosa,K., Galindo Martins Tebet,D., Oliveira,C., Vieira Santos,E., Rodrigues Frias,D.F., Henrique Tsuha,D., Do Carmo Said,R.F., Ferraz Demarchi,L.H., Junior Alcantara,L.C., Rosa Croda,J.H.",2022-03-30,2023-10-03,ssRNA(+)
FJ375540,dengue virus type I,Orthoflavivirus denguei,,15D1/06,404,partial,India,India,Homo sapiens,,"Kukreti,H., Chaudhary,A., Mittal,V., Lal,S., Rai,A.",2006,2008-11-03,ssRNA(+)
MN123810,dengue virus type I,Orthoflavivirus denguei,1,18101001,2325,partial,China,China,Homo sapiens,blood,"Lan,Q.L.",2018-11,2020-12-01,ssRNA(+)
