Accession,Organism_Name,Species,Genotype,Isolate,Length,Nuc_Completeness,Geo_Location,Country,Host,Tissue_Specimen_Source,Submitters,Collection_Date,Release_Date,Molecule_type
PZ675960,dengue virus type 4,Orthoflavivirus denguei,4,YN2_29,10514,partial,China: Yunnan,China,Homo sapiens,blood,"Feng,Y., Chang,W.",2019,2026-07-18,ssRNA(+)
PZ316196,dengue virus type 4,Orthoflavivirus denguei,4,VAC1668,1943,partial,Brazil: Rondonia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-08-27,2026-07-01,ssRNA(+)
PZ316197,dengue virus type 4,Orthoflavivirus denguei,4,VAC1732,1943,partial,Brazil: Ceara,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-08-29,2026-07-01,ssRNA(+)
PZ316198,dengue virus type 4,Orthoflavivirus denguei,4,VAC1915,1943,partial,Brazil: Ceara,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-09-06,2026-07-01,ssRNA(+)
PZ316199,dengue virus type 4,Orthoflavivirus denguei,4,VAC2332,1943,partial,Brazil: Amazonas,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-09-24,2026-07-01,ssRNA(+)
PZ316200,dengue virus type 4,Orthoflavivirus denguei,4,VAC2628,1943,partial,Brazil: Rondonia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-10-06,2026-07-01,ssRNA(+)
PZ316201,dengue virus type 4,Orthoflavivirus denguei,4,VAC3011,1943,partial,Brazil: Sergipe,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-10-20,2026-07-01,ssRNA(+)
PZ316202,dengue virus type 4,Orthoflavivirus denguei,4,VAC3025,1943,partial,Brazil: Rondonia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-12-02,2026-07-01,ssRNA(+)
PZ316203,dengue virus type 4,Orthoflavivirus denguei,4,VAC3177,1943,partial,Brazil: Amazonas,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-10-25,2026-07-01,ssRNA(+)
PZ316204,dengue virus type 4,Orthoflavivirus denguei,4,VAC3846,1943,partial,Brazil: Mato Grosso,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-11-10,2026-07-01,ssRNA(+)
PZ316205,dengue virus type 4,Orthoflavivirus denguei,4,VAC3878,1943,partial,Brazil: Mato Grosso do Sul,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-11-11,2026-07-01,ssRNA(+)
PZ316206,dengue virus type 4,Orthoflavivirus denguei,4,VAC4947,1943,partial,Brazil: Pernambuco,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2016-12-13,2026-07-01,ssRNA(+)
PZ316207,dengue virus type 4,Orthoflavivirus denguei,4,VAC5936,1943,partial,Brazil: Mato Grosso do Sul,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-01-25,2026-07-01,ssRNA(+)
PZ316208,dengue virus type 4,Orthoflavivirus denguei,4,VAC6336,1943,partial,Brazil: Rondonia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-02-08,2026-07-01,ssRNA(+)
PZ316209,dengue virus type 4,Orthoflavivirus denguei,4,VAC6581,1943,partial,Brazil: Rondonia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-02-14,2026-07-01,ssRNA(+)
PZ316210,dengue virus type 4,Orthoflavivirus denguei,4,VAC6680,1943,partial,Brazil: Ceara,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-02-17,2026-07-01,ssRNA(+)
PZ316211,dengue virus type 4,Orthoflavivirus denguei,4,VAC7809,1943,partial,Brazil: Roraima,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-04-07,2026-07-01,ssRNA(+)
PZ316212,dengue virus type 4,Orthoflavivirus denguei,4,VAC7949,1943,partial,Brazil: Roraima,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-04-07,2026-07-01,ssRNA(+)
PZ316213,dengue virus type 4,Orthoflavivirus denguei,4,VAC8047,1943,partial,Brazil: Distrito Federal,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-04-12,2026-07-01,ssRNA(+)
PZ316214,dengue virus type 4,Orthoflavivirus denguei,4,VAC8324,1943,partial,Brazil: Ceara,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-04-27,2026-07-01,ssRNA(+)
PZ316215,dengue virus type 4,Orthoflavivirus denguei,4,VAC8775,1943,partial,Brazil: Amazonas,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-06-07,2026-07-01,ssRNA(+)
PZ316216,dengue virus type 4,Orthoflavivirus denguei,4,VAC9623,1943,partial,Brazil: Sao Paulo,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-06-07,2026-07-01,ssRNA(+)
PZ316217,dengue virus type 4,Orthoflavivirus denguei,4,VAC11692,1943,partial,Brazil: Ceara,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-09-04,2026-07-01,ssRNA(+)
PZ316218,dengue virus type 4,Orthoflavivirus denguei,4,VAC12077,1943,partial,Brazil: Rondonia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-08-30,2026-07-01,ssRNA(+)
PZ316219,dengue virus type 4,Orthoflavivirus denguei,4,VAC12574,1943,partial,Brazil: Amazonas,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-09-29,2026-07-01,ssRNA(+)
PZ316220,dengue virus type 4,Orthoflavivirus denguei,4,VAC12839,1662,partial,Brazil: Pernambuco,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-10-20,2026-07-01,ssRNA(+)
PZ316221,dengue virus type 4,Orthoflavivirus denguei,4,VAC13273,1619,partial,Brazil: Minas Gerais,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-11-10,2026-07-01,ssRNA(+)
PZ316222,dengue virus type 4,Orthoflavivirus denguei,4,VAC13510,1943,partial,Brazil: Distrito Federal,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-11-25,2026-07-01,ssRNA(+)
PZ316223,dengue virus type 4,Orthoflavivirus denguei,4,VAC14504,1943,partial,Brazil: Ceara,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2018-03-06,2026-07-01,ssRNA(+)
PZ316224,dengue virus type 4,Orthoflavivirus denguei,4,VAC15092,474,partial,Brazil: Mato Grosso,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2018-04-06,2026-07-01,ssRNA(+)
PZ316225,dengue virus type 4,Orthoflavivirus denguei,4,VAC15279,340,partial,Brazil: Sao Paulo,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2018-04-16,2026-07-01,ssRNA(+)
PZ316226,dengue virus type 4,Orthoflavivirus denguei,4,VAC18589,1943,partial,Brazil: Rio de Janeiro,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2019-01-21,2026-07-01,ssRNA(+)
PZ316227,dengue virus type 4,Orthoflavivirus denguei,4,VAC19062,1943,partial,Brazil: Distrito Federal,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2019-02-21,2026-07-01,ssRNA(+)
PZ316228,dengue virus type 4,Orthoflavivirus denguei,4,VAC20362,1943,partial,Brazil: Bahia,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2019-06-07,2026-07-01,ssRNA(+)
PZ316229,dengue virus type 4,Orthoflavivirus denguei,4,VAC20434,1943,partial,Brazil: Rio de Janeiro,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2019-06-14,2026-07-01,ssRNA(+)
PZ316230,dengue virus type 4,Orthoflavivirus denguei,4,VAC12802,380,partial,Brazil: Sao Paulo,Brazil,Homo sapiens,blood,"Sacchetto,L., Nogueira,M.L.",2017-10-10,2026-07-01,ssRNA(+)
OZ484503,dengue virus type 4,Orthoflavivirus denguei,,IEDCR-ARBV2500972,10511,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-10-27,2026-06-17,ssRNA(+)
OZ484504,dengue virus type 4,Orthoflavivirus denguei,,IEDCR-ARBV2501018,10511,complete,Bangladesh:Dhaka,Bangladesh,Homo sapiens,,"Nasif,M.A.O., Alam,A.N., Jony,M.H.K., Bhuiyan,M.A., Sultana,S., Hossen,A., Karmakar,L., Shirin,T.",2025-11-05,2026-06-17,ssRNA(+)
PX506266,dengue virus type 4,Orthoflavivirus denguei,4,CUN-029-2016,10483,partial,Colombia: Cundinamarca,Colombia,,,"Calvo,E.P., Madronero,L.J.",2014-04-02,2026-05-06,ssRNA(+)
PX427357,dengue virus type 4,Orthoflavivirus denguei,4,DP3_2022,244,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2022-06-24,2026-05-05,ssRNA(+)
PX427363,dengue virus type 4,Orthoflavivirus denguei,4,DP11_2022,244,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2022-07-27,2026-05-05,ssRNA(+)
PX427412,dengue virus type 4,Orthoflavivirus denguei,4,DP44_2023,310,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2023-11-10,2026-05-05,ssRNA(+)
PX427439,dengue virus type 4,Orthoflavivirus denguei,4,DP60_2024,417,partial,Cuba,Cuba,Homo sapiens,blood,"Sanchez-Mora,P., Vazquez,A., Sanchez-Seco,M.P.",2024-08-01,2026-05-05,ssRNA(+)
